date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:16	58305/58305	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2016:18:15%20GMT	https://tema2.dokuzyazilim.com/	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/index.html	(from )
19:18:17	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2003%20Nov%202023%2016:18:15%20GMT	https://tema2.dokuzyazilim.com/robots.txt		(from )
19:18:17	1520/1520	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2012%20Feb%202022%2010:33:07%20GMT	https://tema2.dokuzyazilim.com/u/tema2/favicon.ico?v=2791	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/favicon9c8f.ico	(from https://tema2.dokuzyazilim.com/)
19:18:28	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%223afe15e976734d9daac26310110c4594%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/Users/abdul/Desktop/HTTRACK/site3/site/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://tema2.dokuzyazilim.com/)
19:18:30	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/abdul/Desktop/HTTRACK/site3/site/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://tema2.dokuzyazilim.com/)
19:18:32	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/Desktop/HTTRACK/site3/site/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://tema2.dokuzyazilim.com/)
19:18:34	4895/4895	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2022:12:28%20GMT	https://tema2.dokuzyazilim.com/js/fancybox/jquery.fancybox.css?v=2791	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/js/fancybox/jquery.fancybox9c8f.css	(from https://tema2.dokuzyazilim.com/)
19:18:34	75178/75178	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:18:05%20GMT	https://tema2.dokuzyazilim.com/templates/default-neo/css/main.css?v=2791	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/templates/default-neo/css/main9c8f.css	(from https://tema2.dokuzyazilim.com/)
19:18:34	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Sep%202020%2006:43:25%20GMT	https://tema2.dokuzyazilim.com/templates/default-neo/css/color.default.css?v=2791	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/templates/default-neo/css/color.default9c8f.css	(from https://tema2.dokuzyazilim.com/)
19:18:35	9287/9287	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:18:09%20GMT	https://tema2.dokuzyazilim.com/templates/neo-gold/css/main.css?v=2791	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/templates/neo-gold/css/main9c8f.css	(from https://tema2.dokuzyazilim.com/)
